"","scopusID","doi","pmid","authors","affiliations","countries","year","articletitle","journal","volume","issue","pages","keywords","abstract","ptype","timescited"
"13","2-s2.0-85054666817","10.1109/TMECH.2018.2875521",NA,"Gupta U.|Wang Y.|Ren H.|Zhu J.","National University of Singapore","Singapore","2019","Dynamic modeling and feedforward control of jaw movements driven by viscoelastic artificial muscles","IEEE/ASME Transactions on Mechatronics","24","1","25-35","Artificial muscles|control|creep|dielectric elastomer actuators (DEAs)|hysteresis|soft robots|viscoelasticity","© 1996-2012 IEEE. Artificial muscles based on dielectric elastomer actuators (DEAs) have been used to mimic the motion of the human jaw. However, DEAs show strong nonlinear behavior coupled with rate dependent viscoelastic phenomena. Under cyclic actuation, the viscoelastic creep coupled with hysteresis further makes control of these viscoelastic membranes difficult. In this paper, we develop a nonlinear dynamic model based on the principles of nonequilibrium thermodynamics to account for viscoelasticity. Furthermore, the damping and inertial effects of the jaw and membrane are taken into account, relating the deformation of the membrane to the voltage applied. Experimental results are found to be consistent with theoretical predictions. The feedforward controller is then developed based on a viscoelastic nonlinear dynamic model. The controller can be used to track the sinusoidal, triangular, and staircase trajectories accurately. Finally, a video demonstrating the jaw movement in the speech, 'I Have a Dream,' by Dr. Martin Luther King Jr. has been shown to illustrate the effectiveness of the controller. This is one of the first efforts to control of soft robots driven by viscoelastic DEAs.","Article","0"
"14","2-s2.0-85058995451","10.1111/pcn.12799","30565801","Grabowski K.|Rynkiewicz A.|Lassalle A.|Baron-Cohen S.|Schuller B.|Cummins N.|Baird A.|Podgórska-Bednarz J.|Pieniazek A.|Lucka I.","Gdanski Uniwersytet Medyczny|University of Rzeszów|Center for Diagnosis|University of Amsterdam|Autism Research Centre|Imperial College London|Universität Augsburg|Association for Children with Attention Deficit Hyperactivity Disorder in Rzeszow|SOLIS RADIUS Association for People with Disabilities and Autism Spectrum Disorders in Rzeszow|Medical Center for Children with Autism Spectrum Disorders in Rzeszow","Poland|Netherlands|United Kingdom|Germany","2019","Emotional expression in psychiatric conditions: New technology for clinicians","Psychiatry and Clinical Neurosciences","73","2","50-62","affective computing|autism|emotions|expressed emotion|nonverbal communication","© 2018 The Authors. Psychiatry and Clinical Neurosciences © 2018 Japanese Society of Psychiatry and Neurology Aim: Emotional expressions are one of the most widely studied topics in neuroscience, from both clinical and non-clinical perspectives. Atypical emotional expressions are seen in various psychiatric conditions, including schizophrenia, depression, and autism spectrum conditions. Understanding the basics of emotional expressions and recognition can be crucial for diagnostic and therapeutic procedures. Emotions can be expressed in the face, gesture, posture, voice, and behavior and affect physiological parameters, such as the heart rate or body temperature. With modern technology, clinicians can use a variety of tools ranging from sophisticated laboratory equipment to smartphones and web cameras. The aim of this paper is to review the currently used tools using modern technology and discuss their usefulness as well as possible future directions in emotional expression research and treatment strategies. Methods: The authors conducted a literature review in the PubMed, EBSCO, and SCOPUS databases, using the following key words: ‘emotions,’ ‘emotional expression,’ ‘affective computing,’ and ‘autism.’ The most relevant and up-to-date publications were identified and discussed. Search results were supplemented by the authors’ own research in the field of emotional expression. Results: We present a critical review of the currently available technical diagnostic and therapeutic methods. The most important studies are summarized in a table. Conclusion: Most of the currently available methods have not been adequately validated in clinical settings. They may be a great help in everyday practice; however, they need further testing. Future directions in this field include more virtual-reality-based and interactive interventions, as well as development and improvement of humanoid robots.","Review","0"
"15","2-s2.0-85055323748","10.1007/s11370-018-0266-9",NA,"Cao H.L.|Jensen L.C.|Nghiem X.N.|Vu H.|De Beir A.|Esteban P.G.|Van de Perre G.|Lefeber D.|Vanderborght B.","Vrije Universiteit Brussel|University of Southern Denmark, Sønderborg","Belgium|Denmark","2019","DualKeepon: a human–robot interaction testbed to study linguistic features of speech","Intelligent Service Robotics","12","1","45-54","Human–robot interaction|Keepon|Linguistics|Low-cost robotics|NAO|Social robot","© 2018, Springer-Verlag GmbH Germany, part of Springer Nature. In this paper, we present a novel dual-robot testbed called DualKeepon for carrying out pairwise comparisons of linguistic features of speech in human–robot interactions. Our solution, using a modified version of the MyKeepon robotic toy developed by Beatbots, is a portable open-source system for researchers to set up experiments quickly, and in an intuitive way. We provide an online tutorial with all required materials to replicate the system. We present two human–robot interaction studies to demonstrate the testbed. The first study investigates the perception of robots using filled pauses. The second study investigates how social roles, realized by different prosodic and lexical speaking profiles, affect trust. Results show that the proposed testbed is a helpful tool for linguistic studies. In addition to the basic setup, advanced users of the system have the ability to connect the system to different robot platforms, i.e., NAO, Pepper.","Article","0"
"16","2-s2.0-85058234094","10.1080/01691864.2018.1555489",NA,"Kühnlenz B.|Kühnlenz K.","Hochschule Coburg","Germany","2019","A dialog switching strategy for information retrieval in noisy environments based on a confidence score","Advanced Robotics","33","1","49-59","dialog strategies|Human–robot interaction|verbal communication","© 2018, © 2018 Informa UK Limited, trading as Taylor  &  Francis Group and The Robotics Society of Japan. This paper presents a dialog switching strategy for information retrieval in human–robot dialog in order to cope with different intensities of background noise. The strategy dynamically switches between a more open and a closed dialog scheme based on a continuously adapted confidence score evaluating resulting numbers of cases of recognition and non-recognition of user speech, which are dependent on the level of background noise. Thereby, more natural and more robust dialog components are balanced, respectively. Experimental results are presented, illustrating the effectiveness of the approach.","Article","0"
"17","2-s2.0-85047994160","10.1109/TNNLS.2018.2830119","29993561","Davila-Chacon J.|Liu J.|Wermter S.","Universität Hamburg|Imperial College London","Germany|United Kingdom","2019","Enhanced Robot Speech Recognition Using Biomimetic Binaural Sound Source Localization","IEEE Transactions on Neural Networks and Learning Systems","30","1","138-150","Automatic speech recognition|behavioral robotics|binaural sound source localization (SSL)|bioinspired neural architectures","© 2012 IEEE. Inspired by the behavior of humans talking in noisy environments, we propose an embodied embedded cognition approach to improve automatic speech recognition (ASR) systems for robots in challenging environments, such as with ego noise, using binaural sound source localization (SSL). The approach is verified by measuring the impact of SSL with a humanoid robot head on the performance of an ASR system. More specifically, a robot orients itself toward the angle where the signal-to-noise ratio (SNR) of speech is maximized for one microphone before doing an ASR task. First, a spiking neural network inspired by the midbrain auditory system based on our previous work is applied to calculate the sound signal angle. Then, a feedforward neural network is used to handle high levels of ego noise and reverberation in the signal. Finally, the sound signal is fed into an ASR system. For ASR, we use a system developed by our group and compare its performance with and without the support from SSL. We test our SSL and ASR systems on two humanoid platforms with different structural and material properties. With our approach we halve the sentence error rate with respect to the common downmixing of both channels. Surprisingly, the ASR performance is more than two times better when the angle between the humanoid head and the sound source allows sound waves to be reflected most intensely from the pinna to the ear microphone, rather than when sound waves arrive perpendicularly to the membrane.","Article","0"
"18","2-s2.0-85048214825","10.1007/978-3-319-78452-6_37",NA,"Suresh A.|Gaba D.|Bhambri S.|Laha D.","New York University|Bharati Vidyapeeth's College of Engineering, New Delhi","United States|India","2019","Intelligent multi-fingered dexterous hand using virtual reality (VR) and robot operating system (ROS)","Advances in Intelligent Systems and Computing","751",NA,"459-474","360 vision|Catkin|Gesture robot|Raspberry pi|ROS|Virtual reality|Voice recognition","© Springer International Publishing AG, part of Springer Nature 2019. The concept of using robots for reducing human effort is now a buzzword since the last decade. Now, with the advancement of the current technologies the robots could be remotely controlled with much greater ease and precision than before in domains, where we could have never even thought of their applications. The paper describes a new user friendly interface which allows the control of the robot manipulator (hand) in the most effective and simplest manner possible. By making use of 360° camera the vision is created which is displayed on the user’s mobile phone (which is placed inside a VR-goggles) and viewed as a virtual reality environment by the user. The user and the robot manipulator are situated far apart and the user will feel like as if the robotic arms are his own arms. Moreover, the user can control the robotic arm placed remotely in any high risk area with or without any internet connectivity. This methodology is very useful for controlling the robotic arm for dealing with radioactive and hazardous materials. Therefore, the user doesn’t have to be in the place of risk and he/she is still able to operate in the most convenient manner. In this paper, a detailed description of the control of the open-source 3D printed robotic hand/forearm from InMoov is discussed. Basically, the InMoov hand/forearm is modified into a useable all-purpose dexterous hand with the application of Virtual Reality to enhance user ease. There are two modes in which the system could be used. First is the hand mimicking mode, in which the user’s hand movements are being replicated onto the robotic hand/forearm, and the second mode is the voice recognition mode in which simple voice commands from the user are processed and are used to control the robotic arm. Voice recognition enables hands free usage of the robotic hand for people with disability. The system makes use of ROS (Robot Operating System) as its baseline program management system. The development is done by making use of ROS catkin workspace on Raspberry Pi 3 with Ubuntu Mate with the implementation of the necessary packages and nodes for every functionality.","Conference Paper","0"
"19","2-s2.0-85048218761","10.1007/978-3-319-78452-6_29",NA,"Ouali C.|Nasr M.M.|AbdelGalil M.A.M.|Karray F.","University of Waterloo|Zewail City of Science and Technology","Canada|Egypt","2019","Voice controlled multi-robot system for collaborative task achievement","Advances in Intelligent Systems and Computing","751",NA,"345-360",NA,"© Springer International Publishing AG, part of Springer Nature 2019. This paper describes a framework for machine cooperation and interaction designed to promote collaborative work with humans in a natural and flexible manner. More specifically, we propose a system where all the interactions with the robots are achieved through voice using Alexa Voice Service (AVS). Besides the implementation of a voice interface channel, we develop a navigation module that enables a robot to autonomously navigate through a map to reach a specific destination while avoiding obstacles. We provide the system with the ability to choose and operate the appropriate robot in context of multi-robot cooperation for task achievement. In addition, a user can intervene during the process of executing a relatively complex task by interacting with the robots via voice commands. To validate the proposed framework, we conduct experiments to quantify the performance during cooperative action involving the human and the system.","Conference Paper","0"
"20","2-s2.0-85048219057","10.1007/978-3-319-78452-6_20",NA,"Al-Khulaidi R.A.|Bakr N.H.B.A.|Fauzi N.M.|Akmeliawati R.","International Islamic University Malaysia","Malaysia","2019","Signbot, sign-language performing robot, based on sequential motion of servo motor arrays","Advances in Intelligent Systems and Computing","751",NA,"239-249",NA,"© Springer International Publishing AG, part of Springer Nature 2019. This paper presents the development of SignBot, a 3D printed robot which can perform Malaysian Sign Language (MSL). This work is the first attempt to eliminate the barriers of communication between hearing impaired individuals and the mainstream society as it is the first robot to perform MSL. The signing, in this work, can be done with two hands. The robot hands were developed with detailed finger joints. Micro servo motors were installed to allow for the signing motions for the relevant joints of selected letters, numbers as well as phrases for emergency cases. The sequential movements of the servo motor arrays are stored in the database to represent particular signs, and retrieved by the microcontroller based on the speech input detected, and finally executed accordingly by the servo motors to perform the sign.","Conference Paper","0"
"21","2-s2.0-85048221715","10.1007/978-3-319-78452-6_11",NA,"Gudi S.L.K.C.|Ojha S.|Sidra |Johnston B.|Williams M.A.","University of Technology Sydney","Australia","2019","A proactive robot tutor based on emotional intelligence","Advances in Intelligent Systems and Computing","751",NA,"113-120","AUSLAN|ECS|Emotions|Sign language|Social robots","© Springer International Publishing AG, part of Springer Nature 2019. In recent years, social robots are playing a vital role in various aspects of acting as a companion, assisting in regular tasks, health, interaction, teaching, etc. Coming to the case of robot tutor, the actions of the robot are limited. It may not fully understand the emotions of the student. It may continue to give lecture even though the user is bored or left away from the robot. This situation makes a user feel that robot cannot supersede a human being because it is not in a position to understand emotions. To overcome this issue, in this paper, we present an Emotional Classification System (ECS) where the robot adapts to the mood of the user and behaves accordingly by becoming proactive. It works based on the emotion tracked by the robot using its emotional intelligence. A robot as a sign language tutor scenario is considered to assist speech and hearing impairment people for validating our model. Real-time implementations and analysis are further discussed by considering Pepper robot as a platform.","Conference Paper","0"
"22","2-s2.0-85048239284","10.1007/978-3-319-78452-6_24",NA,"Thinh N.T.|Tho T.P.|Toai T.C.|Ben L.T.","HCMC University of Technology and Education","Viet Nam","2019","Robot supporting for deaf and less hearing people","Advances in Intelligent Systems and Computing","751",NA,"283-289",NA,"© Springer International Publishing AG, part of Springer Nature 2019. This paper discusses the development of a service robot for translating spoken language text into signed languages and vice versa The motivation for our study is the improvement of accessibility to public information announcements for deaf and less hearing people. The robot can translate Vietnamese sign language into speech and recognize Vietnamese/English speech to suitable gesture/sign language. The paper describes the use of service robot in a sign language machine translation system. Several sign language visualization methods were evaluated on the robot. In order to perform this study a machine translation service robot that uses display screen on robot as service-delivery device was developed as well as a 3D avatar. It was concluded that service robot are suitable service-delivery platforms for sign language machine translation systems.","Conference Paper","0"
